ad_id,provider,target_age,impressions,spend,headline,body
ad_0,Zip,55-64,5696,822.29,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_1,Afterpay,45-54,13670,3025.52,Split your purchase into 4 easy payments.,Don't let tight budgets hold you back. Flexible payment options available now! Smart budgeting for your family. No interest fees.
ad_2,Sezzle,55-64,1864,950.03,Unlock your purchasing power.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. Smart budgeting for your family. No interest fees."
ad_3,Zip,25-34,5128,84.98,"Buy Now, Pay Later with no hidden fees!","Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_4,Afterpay,25-34,1942,1863.49,Zero interest when you pay in 4.,Don't let tight budgets hold you back. Flexible payment options available now!
ad_5,PayPal Pay Later,18-24,1418,2595.46,"Buy Now, Pay Later with no hidden fees!","Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_6,Sezzle,25-34,1635,533.48,Don't wait! Buy today and pay later.,Instant approval! Just select our payment option at checkout.
ad_7,Zip,18-24,7688,2501.13,Split your purchase into 4 easy payments.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_8,Klarna,18-24,841,2624.34,"Get it now, pay over time.",Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_9,PayPal Pay Later,18-24,8883,4219.31,Don't wait! Buy today and pay later.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_10,Affirm,45-54,6238,488.04,Don't wait! Buy today and pay later.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. Smart budgeting for your family. No interest fees."
ad_11,PayPal Pay Later,18-24,3538,1973.95,"Get it now, pay over time.","We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_12,Affirm,55-64,658,1516.55,Unlock your purchasing power.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. Smart budgeting for your family. No interest fees."
ad_13,Klarna,65+,6133,3872.61,Don't wait! Buy today and pay later.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. Smart budgeting for your family. No interest fees."
ad_14,Afterpay,25-34,7290,416.52,"Get it now, pay over time.","Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_15,Zip,45-54,6342,3135.33,"Get it now, pay over time.","Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_16,PayPal Pay Later,18-24,6717,4441.7,"Buy Now, Pay Later with no hidden fees!","Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_17,Sezzle,65+,11570,4252.12,Unlock your purchasing power.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check."
ad_18,PayPal Pay Later,25-34,217,175.82,Unlock your purchasing power.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_19,Klarna,18-24,6781,2567.42,Zero interest when you pay in 4.,"We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_20,Sezzle,25-34,15107,4408.32,"Get it now, pay over time.","We help you buy what you want, when you want it. Download the app today."
ad_21,PayPal Pay Later,25-34,6793,4363.73,Don't wait! Buy today and pay later.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_22,Zip,25-34,2113,654.34,"Buy Now, Pay Later with no hidden fees!",Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_23,Klarna,18-24,6315,3256.07,"Buy Now, Pay Later with no hidden fees!",Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_24,Sezzle,45-54,2996,2116.18,Unlock your purchasing power.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_25,Afterpay,18-24,2357,1258.42,Split your purchase into 4 easy payments.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_26,Klarna,25-34,2935,1272.04,"Get it now, pay over time.","Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_27,Klarna,18-24,2900,4988.82,Split your purchase into 4 easy payments.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_28,Affirm,25-34,2459,767.23,Don't wait! Buy today and pay later.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check."
ad_29,PayPal Pay Later,18-24,4030,3377.07,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_30,Klarna,25-34,12122,3185.97,Split your purchase into 4 easy payments.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_31,Klarna,18-24,733,973.27,Unlock your purchasing power.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_32,Zip,18-24,6112,4057.03,Don't wait! Buy today and pay later.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_33,Klarna,25-34,1151,1964.34,"Get it now, pay over time.","Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_34,Afterpay,18-24,2086,3316.92,"Get it now, pay over time.","Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_35,Zip,25-34,5198,1247.17,Zero interest when you pay in 4.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_36,Sezzle,45-54,706,1778.59,Split your purchase into 4 easy payments.,Instant approval! Just select our payment option at checkout.
ad_37,PayPal Pay Later,35-44,9805,3228.06,Split your purchase into 4 easy payments.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_38,Zip,45-54,3996,75.05,Zero interest when you pay in 4.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check."
ad_39,Affirm,25-34,1459,3277.21,"Buy Now, Pay Later with no hidden fees!",Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_40,Klarna,18-24,788,1864.02,Split your purchase into 4 easy payments.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_41,Klarna,25-34,2906,2568.63,Zero interest when you pay in 4.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_42,PayPal Pay Later,25-34,2947,4535.19,Split your purchase into 4 easy payments.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_43,Sezzle,25-34,4506,2905.67,"Buy Now, Pay Later with no hidden fees!","We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_44,Zip,25-34,1021,4705.27,Unlock your purchasing power.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_45,Sezzle,45-54,4829,3751.21,Unlock your purchasing power.,"We help you buy what you want, when you want it. Download the app today. Smart budgeting for your family. No interest fees."
ad_46,Klarna,25-34,4173,422.96,Unlock your purchasing power.,"We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_47,Klarna,18-24,3135,888.99,"Buy Now, Pay Later with no hidden fees!","Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_48,PayPal Pay Later,25-34,1231,3094.29,Zero interest when you pay in 4.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_49,Afterpay,18-24,3476,1646.63,"Buy Now, Pay Later with no hidden fees!","Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_50,Afterpay,25-34,491,2127.92,"Get it now, pay over time.","Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_51,Sezzle,18-24,4758,75.67,Don't wait! Buy today and pay later.,"We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_52,Zip,25-34,7738,4455.53,Don't wait! Buy today and pay later.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_53,Affirm,25-34,5718,3376.53,Split your purchase into 4 easy payments.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_54,Affirm,25-34,5920,200.98,Don't wait! Buy today and pay later.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_55,PayPal Pay Later,18-24,594,2708.56,Unlock your purchasing power.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_56,Sezzle,18-24,2842,4218.01,Don't wait! Buy today and pay later.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_57,Afterpay,25-34,5007,3644.15,Unlock your purchasing power.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check."
ad_58,Zip,25-34,2677,2195.93,"Get it now, pay over time.","Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_59,Sezzle,18-24,1833,450.32,"Buy Now, Pay Later with no hidden fees!",Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_60,Sezzle,18-24,2655,1236.95,Zero interest when you pay in 4.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_61,Sezzle,18-24,6847,4776.58,Unlock your purchasing power.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_62,Sezzle,25-34,1435,3801.34,"Buy Now, Pay Later with no hidden fees!","We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_63,PayPal Pay Later,18-24,828,516.08,Zero interest when you pay in 4.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_64,PayPal Pay Later,25-34,1179,2483.5,Don't wait! Buy today and pay later.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_65,PayPal Pay Later,25-34,2808,2022.6,"Get it now, pay over time.",Don't let tight budgets hold you back. Flexible payment options available now!
ad_66,Sezzle,45-54,2986,2719.92,Unlock your purchasing power.,Instant approval! Just select our payment option at checkout. Smart budgeting for your family. No interest fees.
ad_67,Affirm,18-24,6348,2949.59,Split your purchase into 4 easy payments.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_68,Zip,18-24,1611,2750.8,Unlock your purchasing power.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_69,Afterpay,35-44,24620,3274.85,Split your purchase into 4 easy payments.,Instant approval! Just select our payment option at checkout. Smart budgeting for your family. No interest fees.
ad_70,Sezzle,18-24,3948,402.38,Unlock your purchasing power.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_71,Affirm,18-24,1599,4081.62,"Buy Now, Pay Later with no hidden fees!",Instant approval! Just select our payment option at checkout.
ad_72,Affirm,25-34,7329,3688.6,Unlock your purchasing power.,"We help you buy what you want, when you want it. Download the app today."
ad_73,Klarna,25-34,4053,2146.18,Split your purchase into 4 easy payments.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_74,Afterpay,25-34,10696,1736.98,Zero interest when you pay in 4.,"We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_75,Zip,25-34,1649,3766.81,"Buy Now, Pay Later with no hidden fees!","Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_76,Klarna,18-24,2151,1978.61,Unlock your purchasing power.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_77,Afterpay,18-24,77186,103.65,"Buy Now, Pay Later with no hidden fees!","Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_78,Zip,18-24,3306,2438.48,"Get it now, pay over time.","We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_79,Sezzle,18-24,3895,1676.89,Split your purchase into 4 easy payments.,"We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_80,Zip,55-64,2116,4658.1,"Get it now, pay over time.",Don't let tight budgets hold you back. Flexible payment options available now!
ad_81,Affirm,25-34,3825,4444.14,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_82,Affirm,55-64,7251,4341.0,Zero interest when you pay in 4.,Don't let tight budgets hold you back. Flexible payment options available now!
ad_83,Sezzle,18-24,4895,2013.43,Split your purchase into 4 easy payments.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check."
ad_84,Affirm,18-24,700,4073.36,"Buy Now, Pay Later with no hidden fees!","We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_85,Zip,18-24,729,3555.5,Split your purchase into 4 easy payments.,"We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_86,Zip,25-34,7028,600.43,Split your purchase into 4 easy payments.,"We help you buy what you want, when you want it. Download the app today."
ad_87,Sezzle,25-34,2540,2878.79,Don't wait! Buy today and pay later.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_88,Sezzle,35-44,6906,1225.66,"Buy Now, Pay Later with no hidden fees!",Instant approval! Just select our payment option at checkout. Smart budgeting for your family. No interest fees.
ad_89,Klarna,18-24,9258,2665.43,Unlock your purchasing power.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_90,Affirm,18-24,3195,4965.18,Unlock your purchasing power.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_91,Afterpay,25-34,7970,423.4,"Buy Now, Pay Later with no hidden fees!","Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_92,PayPal Pay Later,18-24,12540,4580.51,"Get it now, pay over time.",Don't let tight budgets hold you back. Flexible payment options available now!
ad_93,Zip,18-24,1477,1711.52,"Get it now, pay over time.",Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_94,Zip,25-34,8371,434.79,"Buy Now, Pay Later with no hidden fees!",Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_95,Afterpay,25-34,487,2703.68,"Buy Now, Pay Later with no hidden fees!","We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_96,Zip,25-34,1561,427.19,Zero interest when you pay in 4.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check."
ad_97,Afterpay,25-34,1991,3086.41,"Get it now, pay over time.","Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_98,PayPal Pay Later,45-54,9695,4937.02,"Buy Now, Pay Later with no hidden fees!","Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_99,Sezzle,25-34,1864,1995.3,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_100,Klarna,35-44,256,1403.37,Zero interest when you pay in 4.,Instant approval! Just select our payment option at checkout. Smart budgeting for your family. No interest fees.
ad_101,Klarna,25-34,1210,3762.06,Split your purchase into 4 easy payments.,"We help you buy what you want, when you want it. Download the app today."
ad_102,Sezzle,25-34,1565,1243.37,"Buy Now, Pay Later with no hidden fees!",Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_103,Klarna,55-64,11567,3050.56,Zero interest when you pay in 4.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_104,Klarna,35-44,2976,2407.24,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. Smart budgeting for your family. No interest fees."
ad_105,Affirm,45-54,1946,2781.94,Unlock your purchasing power.,Don't let tight budgets hold you back. Flexible payment options available now!
ad_106,PayPal Pay Later,35-44,1697,2131.65,Unlock your purchasing power.,"We help you buy what you want, when you want it. Download the app today. Smart budgeting for your family. No interest fees."
ad_107,PayPal Pay Later,25-34,37769,1104.17,Zero interest when you pay in 4.,Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_108,Affirm,18-24,528,2215.5,"Get it now, pay over time.",Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_109,Klarna,25-34,12636,3929.08,Don't wait! Buy today and pay later.,Don't let tight budgets hold you back. Flexible payment options available now!
ad_110,Affirm,45-54,2937,1328.31,Unlock your purchasing power.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check."
ad_111,PayPal Pay Later,25-34,6610,1677.32,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_112,Afterpay,18-24,991,1761.05,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_113,Afterpay,25-34,4854,902.98,"Get it now, pay over time.","Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_114,Afterpay,35-44,828,207.43,Zero interest when you pay in 4.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_115,Sezzle,25-34,811,1071.35,"Get it now, pay over time.","Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_116,PayPal Pay Later,18-24,1595,2431.67,Zero interest when you pay in 4.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_117,Afterpay,45-54,2267,352.34,"Get it now, pay over time.",Instant approval! Just select our payment option at checkout.
ad_118,Klarna,18-24,3562,2706.12,Zero interest when you pay in 4.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_119,Affirm,35-44,3089,2679.77,"Get it now, pay over time.","We help you buy what you want, when you want it. Download the app today. Smart budgeting for your family. No interest fees."
ad_120,Affirm,18-24,6984,4481.27,Zero interest when you pay in 4.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_121,Zip,18-24,1109,2264.69,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. No credit impact! Treat yourself now. Instant decision."
ad_122,Klarna,25-34,3865,4211.51,Zero interest when you pay in 4.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check."
ad_123,PayPal Pay Later,18-24,819,4458.11,Don't wait! Buy today and pay later.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_124,Zip,18-24,2212,2941.79,Zero interest when you pay in 4.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_125,Klarna,25-34,26182,1924.92,Unlock your purchasing power.,Don't let tight budgets hold you back. Flexible payment options available now! No credit impact! Treat yourself now. Instant decision.
ad_126,Zip,25-34,439,4933.25,Unlock your purchasing power.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_127,Klarna,18-24,7641,1165.4,Zero interest when you pay in 4.,Instant approval! Just select our payment option at checkout.
ad_128,PayPal Pay Later,18-24,1301,4488.99,Split your purchase into 4 easy payments.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_129,Sezzle,65+,1728,604.59,"Get it now, pay over time.",Instant approval! Just select our payment option at checkout.
ad_130,Zip,45-54,17946,4113.26,"Get it now, pay over time.","Manage your cash flow better. Buy the essentials today and pay in small, manageable installments. Smart budgeting for your family. No interest fees."
ad_131,Affirm,18-24,2766,3858.99,Zero interest when you pay in 4.,"Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_132,PayPal Pay Later,25-34,5656,2672.71,"Buy Now, Pay Later with no hidden fees!","Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check."
ad_133,PayPal Pay Later,18-24,1319,2927.13,Split your purchase into 4 easy payments.,Instant approval! Just select our payment option at checkout.
ad_134,Sezzle,25-34,2569,715.35,"Get it now, pay over time.",Instant approval! Just select our payment option at checkout. No credit impact! Treat yourself now. Instant decision.
ad_135,Affirm,18-24,1983,4058.88,"Buy Now, Pay Later with no hidden fees!","We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_136,Klarna,35-44,1446,2088.61,Zero interest when you pay in 4.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. Smart budgeting for your family. No interest fees."
ad_137,Sezzle,35-44,33990,4826.88,Zero interest when you pay in 4.,"We help you buy what you want, when you want it. Download the app today."
ad_138,Afterpay,55-64,4856,4217.05,Split your purchase into 4 easy payments.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free."
ad_139,Sezzle,18-24,14474,860.1,Unlock your purchasing power.,"We help you buy what you want, when you want it. Download the app today. No credit impact! Treat yourself now. Instant decision."
ad_140,Sezzle,18-24,6262,1615.17,"Get it now, pay over time.","Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
ad_141,Affirm,35-44,3802,2223.72,Zero interest when you pay in 4.,"Manage your cash flow better. Buy the essentials today and pay in small, manageable installments."
ad_142,Sezzle,18-24,3036,1199.45,"Buy Now, Pay Later with no hidden fees!","Shop your favorite brands and pay over 6 weeks. No interest, no hard credit check. No credit impact! Treat yourself now. Instant decision."
ad_143,PayPal Pay Later,18-24,15937,1183.68,Split your purchase into 4 easy payments.,Don't let tight budgets hold you back. Flexible payment options available now!
ad_144,PayPal Pay Later,18-24,7451,875.32,Unlock your purchasing power.,"Why wait until payday? Get the things you want now and split your payments. It's fast, easy, and risk-free. No credit impact! Treat yourself now. Instant decision."
